Model,Features,MAE,Spearman
Linear Regression,Static,40289796.83843229,0.5126394104838259
Linear Regression,+Drift,8730047.701683763,0.5160781603334353
Ridge Regression (L2),Static,40434309.38805412,0.5126435093055758
Ridge Regression (L2),+Drift,8840716.310351023,0.5160724128984258
Random Forest,Static,616.2671755347616,0.5352165955528656
Random Forest,+Drift,619.5773745186369,0.5335240063381931
XGBoost (Proposed),Static,652.9694955028643,0.561663657922477
XGBoost (Proposed),+Drift,655.2112695577339,0.5590182259233626
Feedforward NN (MLP),Static,38041.0511744753,0.5638876079688985
Feedforward NN (MLP),+Drift,780.8813709396811,0.5488001565186804
